block,code,msg_type,sender,pool_id,share_out,denom_1,amount_1,denom_2,amount_2
4708226,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo12gth2ge7cd0ddp2082vng8ft4qh27fetz7stfv,678,18936948970989401,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,63962,uosmo,56643
4708235,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo162rr7lw735l9276wqewd2ygmq4x8xe0qhkjr9f,1,33545687857203448514,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,302835,uosmo,2372480
4708237,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1k5ehhteq3wgpka630lt6qwp90nhrpfly3d9ry8,704,514091458390790336,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,2630278425491926,uosmo,4166662
4708239,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1vrml8rkxcstrneqv208wmd9f3yd5uwkwc84aga,719,8933053953168325889,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,306262,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,176254
4708245,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1dvwyzspj43vrdffqm0rmj9fa0aqnalqpad5sva,611,47227929262583245543,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,2600575,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,721000000
4708249,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1w9pkvf5wwwmdshv35ftej0ssx7nzgqc6ykqth9,604,1619451478259433,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,221700000,uosmo,6227264
4708254,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1tmtwh7lddse4qt6lpk4d8ze3av4wkw7n0l29vv,619,4249763595953034424,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,50000000,uosmo,910669
4708256,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1vrml8rkxcstrneqv208wmd9f3yd5uwkwc84aga,577,419099520054916,ibc/B547DC9B897E7C3AA5B824696110B8E3D2C31E3ED3F02FF363DCBAD82457E07E,781481,uosmo,58374
4708257,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18w70c6a8w7f8q3vlv0uktgkxnsr5rxrxfv7jja,1,22620680741852493988,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,204182,uosmo,1600036
4708259,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1urpm9v5753h39ur4834ug4eqe4l0y04z0m3u2v,704,1723372275494388830,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,13219082745417513,uosmo,20948780
4708261,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1tmtwh7lddse4qt6lpk4d8ze3av4wkw7n0l29vv,604,350622586778511,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,48000014,uosmo,1348230
4708263,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1dvwyzspj43vrdffqm0rmj9fa0aqnalqpad5sva,619,4249781866486797811,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,50000000,uosmo,910669
4708264,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo144rn45fkl032xdhr6z3lz6p0ld2hj9jakdmgwe,1,31460815884551797201,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,283976,uosmo,2225327
4708265,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1wedyqzzm5mvatmfrn78n4arvnzsvz0jlumjxaa,602,355965288544059,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA,106155966,uosmo,3670
4708267,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1g2p84hlnvpwz9jzlwknvwq7lykve3x7njdhyzv,601,283486414293575564,ibc/EA3E1640F9B1532AB129A571203A0B9F789A7F14BB66E350DCBFA18E1A1931F0,13990000,uosmo,4043729
